#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
71.0,Keith Datu,ROS,11.0,20.3,7.5,2.5,7.0,0.364,1.1,4.3,0.255,1.4,2.0,0.682,1.5,2.5,4.1,0.9,0.3,0.7,0.6,2.1
72.0,Dominic Fajardo,NLEX,11.0,19.1,7.5,3.0,4.9,0.611,0.3,0.5,0.6,1.2,2.3,0.52,1.3,2.0,3.3,1.4,0.9,0.6,0.6,3.1
73.0,Paul Christian Zamar,NPB,12.0,18.0,7.2,2.4,5.3,0.453,1.3,2.8,0.441,1.1,1.7,0.65,0.8,1.0,1.8,1.7,0.6,0.1,0.8,1.9
74.0,Jiovani Jalalon,SHOT,10.0,21.4,7.1,2.5,6.7,0.373,0.3,1.3,0.231,1.8,2.0,0.9,0.8,3.6,4.4,4.2,1.6,0.0,1.8,3.0
75.0,Fredrick Tungcab,BLAC,10.0,15.1,7.0,2.7,6.5,0.415,1.3,3.4,0.382,0.3,0.8,0.375,0.4,2.0,2.4,2.2,1.2,0.1,1.1,1.7
76.0,Brandon Rosser,TNT,13.0,20.6,6.5,2.2,5.2,0.426,0.2,1.3,0.176,1.8,3.8,0.48,1.5,3.8,5.3,0.8,0.5,1.2,1.1,3.1
77.0,Bradwyn Guinto,BLAC,11.0,22.6,6.4,2.8,5.0,0.564,0.0,0.0,0.0,0.7,1.4,0.533,1.9,3.5,5.4,1.5,0.4,0.5,1.2,3.5
78.0,Michael Miranda,NLEX,12.0,18.5,6.2,2.2,5.0,0.433,1.1,2.1,0.52,0.8,1.0,0.75,0.3,2.7,3.0,0.9,0.2,0.2,0.8,2.8
79.0,Anton Asistio,ROS,16.0,12.0,6.1,2.1,5.6,0.378,1.3,4.1,0.303,0.6,0.8,0.833,0.3,1.0,1.3,1.4,0.4,0.0,0.4,1.2
80.0,Mark Sangalang,DYIP,14.0,17.3,6.0,2.2,4.3,0.517,0.1,0.3,0.25,1.5,2.1,0.724,1.1,2.2,3.3,1.3,0.2,0.3,1.1,2.3
81.0,King Caralipio,XERS,11.0,21.7,6.0,2.2,5.0,0.436,0.8,2.4,0.346,0.8,1.0,0.818,1.8,4.4,6.2,0.9,0.5,0.2,1.1,2.3
82.0,Kemark Carino,DYIP,12.0,21.4,5.8,2.3,5.8,0.4,0.6,2.8,0.206,0.5,0.7,0.75,1.7,2.6,4.3,0.6,0.6,2.2,0.6,3.1
83.0,Richard Rodger,NLEX,10.0,22.4,5.6,1.9,6.1,0.311,0.9,3.7,0.243,0.9,0.9,1.0,0.4,2.7,3.1,1.9,0.5,0.3,0.6,1.4
84.0,Mark Borboran,ROS,15.0,16.3,5.6,2.2,3.7,0.589,0.3,1.0,0.333,0.9,0.9,0.929,0.7,2.3,3.0,1.1,0.7,0.7,0.5,1.1
85.0,Fran Louie Yu,NPB,12.0,15.5,5.4,1.6,5.1,0.311,0.7,3.1,0.216,1.6,2.1,0.76,0.4,1.5,1.9,3.8,1.4,0.0,1.0,2.3
86.0,Shaun Ildefonso,ROS,16.0,11.6,5.4,2.0,4.4,0.457,0.4,1.8,0.25,0.9,1.8,0.517,0.7,1.3,2.0,0.4,0.3,0.3,0.6,0.6
87.0,Joseph Matthew Nieto,NLEX,11.0,20.2,5.3,2.0,5.7,0.349,0.4,2.0,0.182,0.9,1.3,0.714,0.3,1.5,1.7,3.1,0.5,0.0,1.2,1.6
88.0,Amer Baser,NLEX,12.0,19.1,5.3,2.0,5.2,0.387,0.8,3.0,0.278,0.4,0.8,0.5,0.3,1.3,1.6,1.8,0.3,0.1,1.3,2.3
89.0,James Laput,SHOT,11.0,14.1,5.2,2.0,3.8,0.524,0.0,0.0,0.0,1.2,1.6,0.722,0.8,1.8,2.6,0.5,0.1,0.1,1.0,2.1
90.0,Rome de la Rosa,SHOT,6.0,21.9,5.0,2.0,5.3,0.375,0.5,1.8,0.273,0.5,0.7,0.75,0.5,1.7,2.2,1.2,0.7,0.0,0.3,2.0
91.0,Tyrus Hill,BLAC,11.0,19.0,5.0,2.1,4.8,0.434,0.1,1.0,0.091,0.7,0.8,0.889,1.3,1.9,3.2,0.9,0.9,0.5,1.0,2.1
92.0,Jeffrei Chan,NPB,8.0,14.0,5.0,2.0,4.6,0.432,0.6,1.9,0.333,0.4,0.9,0.429,0.0,1.1,1.1,1.3,1.0,0.1,0.8,0.3
93.0,John De Los Santos,XERS,11.0,20.5,4.9,2.1,3.9,0.535,0.5,1.1,0.417,0.3,0.6,0.429,1.1,1.6,2.7,3.8,0.8,0.2,1.8,1.8
94.0,Aljun Melecio,XERS,11.0,13.9,4.9,1.6,5.9,0.277,1.0,3.6,0.275,0.6,0.6,1.0,0.7,1.1,1.8,1.5,0.2,0.0,0.6,0.9
95.0,Abu Jahal Tratter,SHOT,12.0,15.3,4.8,2.2,3.4,0.634,0.0,0.0,0.0,0.5,1.3,0.4,1.3,1.7,3.0,0.4,0.3,0.0,1.3,2.0
96.0,Matthew Daves,FUEL,10.0,13.6,4.8,1.9,2.7,0.704,0.0,0.0,0.0,1.0,1.8,0.556,0.8,1.5,2.3,0.3,0.2,0.3,0.5,0.7
97.0,Henry Galinato,TNT,13.0,11.9,4.8,1.7,3.3,0.512,0.0,0.2,0.0,1.4,2.0,0.692,1.5,2.6,4.2,0.7,0.2,0.2,1.7,1.8
98.0,Gelo Alolino,DYIP,14.0,13.7,4.7,1.8,4.7,0.379,0.4,1.3,0.278,0.8,1.1,0.688,0.3,0.9,1.2,1.8,0.5,0.1,0.8,0.9
99.0,Anjo Caram,MER,24.0,14.7,4.7,1.7,4.0,0.427,1.0,2.2,0.434,0.3,0.3,0.875,0.3,0.5,0.8,1.2,0.2,0.1,0.5,1.4
100.0,Sean Anthony,NLEX,10.0,14.4,4.6,1.4,5.5,0.255,0.2,1.9,0.105,1.6,2.2,0.727,1.0,2.3,3.3,0.8,0.7,0.0,1.0,2.3
101.0,Larry Muyang,FUEL,10.0,15.4,4.4,1.5,4.7,0.319,0.5,2.6,0.192,0.9,1.2,0.75,0.9,2.6,3.5,0.3,0.0,0.3,0.2,2.1
102.0,Brandon Bates,MER,20.0,20.2,4.4,1.9,2.9,0.655,0.0,0.0,0.0,0.6,2.0,0.308,2.5,4.0,6.5,0.5,0.4,1.5,0.9,3.3
103.0,Richard Escoto,BLAC,11.0,13.5,4.1,1.5,3.5,0.41,0.6,1.6,0.389,0.5,1.0,0.545,0.6,1.5,2.1,0.5,0.3,0.3,0.5,1.4
104.0,John Rodney Brondial,SMB,22.0,13.4,4.0,2.0,3.3,0.589,0.0,0.1,0.5,0.1,0.6,0.143,2.0,2.3,4.4,1.0,0.2,0.2,0.4,1.8
105.0,Philip Cahilig,DYIP,14.0,16.7,4.0,1.4,3.4,0.417,1.1,2.4,0.455,0.1,0.4,0.2,0.9,2.4,3.4,0.8,0.2,0.5,0.9,1.9
106.0,Jose Mendoza,MER,12.0,9.2,4.0,1.3,3.1,0.432,0.9,2.3,0.393,0.4,0.7,0.625,0.0,0.5,0.5,0.8,0.2,0.0,0.5,1.1
107.0,Jonathan Jed Mendoza,SHOT,12.0,15.0,3.8,1.3,3.3,0.375,0.6,1.9,0.304,0.7,0.9,0.727,0.3,0.9,1.3,1.6,0.7,0.0,0.8,1.2
108.0,Joseph Eriobu,SHOT,12.0,9.4,3.7,1.4,3.3,0.425,0.5,1.5,0.333,0.3,0.6,0.571,0.5,0.8,1.3,0.1,0.4,0.0,0.4,1.4
109.0,Raffy Verano,FUEL,11.0,11.6,3.6,1.5,4.2,0.348,0.3,1.0,0.273,0.5,0.9,0.5,0.7,1.8,2.5,0.4,0.4,0.1,0.8,0.9
110.0,Nard Pinto,BGK,19.0,16.4,3.6,1.3,3.4,0.391,0.6,1.6,0.355,0.4,0.6,0.667,0.6,2.3,2.9,1.1,0.5,0.0,0.8,1.1
111.0,Chris Ross,SMB,23.0,24.6,3.6,1.1,3.6,0.313,0.9,3.0,0.304,0.4,0.6,0.643,0.2,2.3,2.5,3.0,1.3,0.2,1.0,1.4
112.0,Nick Demusis,ROS,17.0,11.2,3.5,1.3,2.9,0.449,0.3,0.9,0.313,0.6,0.9,0.625,0.6,1.9,2.5,0.5,0.4,0.1,0.2,1.2
113.0,Jeron Teng,SMB,17.0,8.4,3.5,1.2,3.4,0.362,0.4,1.0,0.353,0.6,0.8,0.786,0.3,0.7,1.0,0.5,0.2,0.0,0.8,1.1
114.0,Sidney Onwubere,BGK,15.0,11.3,3.5,1.0,2.8,0.357,0.3,1.0,0.267,1.2,2.1,0.581,1.5,2.0,3.5,0.7,0.3,0.3,0.6,2.0
115.0,Aldrech Ramos,DYIP,14.0,14.8,3.4,1.4,3.1,0.465,0.3,1.0,0.286,0.3,0.4,0.8,0.6,1.4,2.0,0.9,0.3,0.3,0.4,2.0
116.0,Patrick Maagdenberg,XERS,11.0,15.2,3.4,1.1,3.4,0.324,0.1,0.7,0.125,1.1,1.6,0.667,1.3,1.7,3.0,0.6,0.5,0.3,0.8,2.1
117.0,Kib Montalbo,TNT,14.0,15.4,3.4,1.4,3.4,0.396,0.4,1.3,0.278,0.3,0.4,0.667,0.1,1.1,1.1,2.1,0.3,0.1,0.6,2.6
118.0,Kris Rosales,NPB,12.0,13.7,3.3,1.2,3.3,0.35,0.4,1.9,0.217,0.6,0.8,0.7,0.3,0.9,1.3,1.3,0.4,0.1,0.7,1.4
119.0,David Marcelo,NLEX,11.0,15.5,3.3,1.2,2.5,0.464,0.0,0.0,0.0,0.9,2.1,0.435,1.5,2.2,3.7,1.5,0.4,0.5,1.0,2.8
120.0,L.A. Tenorio,BGK,19.0,13.9,3.2,1.2,3.3,0.349,0.6,1.7,0.333,0.3,0.4,0.75,0.2,1.9,2.1,1.8,0.3,0.0,0.5,1.1
121.0,Jose Raymar,MER,10.0,10.8,3.2,1.4,3.0,0.467,0.0,0.6,0.0,0.4,0.4,1.0,1.0,1.7,2.7,0.7,0.1,0.2,0.6,1.5
122.0,Inand Fornilos,XERS,11.0,14.8,3.2,1.2,2.7,0.433,0.3,0.9,0.3,0.5,1.1,0.5,1.5,2.4,3.9,1.1,0.2,0.4,0.6,1.4
123.0,Eric James Camson,DYIP,12.0,6.4,3.2,1.1,2.5,0.433,0.3,0.6,0.429,0.8,0.8,0.9,0.3,1.3,1.6,0.5,0.1,0.1,0.6,1.2
124.0,Norberto Torres,MER,24.0,11.0,3.2,1.2,3.1,0.392,0.5,1.7,0.317,0.2,0.3,0.625,0.8,1.2,2.0,0.3,0.4,0.3,0.4,1.8
125.0,Mac Belo,ROS,10.0,8.3,3.1,1.0,3.2,0.313,0.6,2.1,0.286,0.5,0.8,0.625,0.8,1.7,2.5,0.3,0.0,0.3,0.4,1.2
126.0,Gabe Norwood,ROS,15.0,20.6,2.9,1.0,3.5,0.288,0.2,1.6,0.125,0.7,0.9,0.786,0.9,3.0,3.9,2.0,0.7,0.3,0.5,1.1
127.0,Jerrick Balanza,XERS,6.0,6.7,2.7,1.0,3.2,0.316,0.5,1.8,0.273,0.2,0.7,0.25,0.3,1.2,1.5,0.8,0.2,0.2,0.0,0.0
128.0,John Paul Calvo,DYIP,12.0,12.1,2.5,0.8,3.3,0.231,0.1,0.5,0.167,0.9,1.1,0.846,0.2,1.3,1.4,1.5,0.9,0.0,0.8,1.4
129.0,Simon Enciso,SMB,20.0,11.2,2.4,0.8,2.5,0.327,0.8,2.1,0.357,0.0,0.0,0.0,0.2,0.7,0.8,1.3,0.4,0.1,0.5,1.3
130.0,Brent Paraiso,NPB,10.0,7.4,2.3,0.7,2.0,0.35,0.6,1.3,0.462,0.3,0.4,0.75,0.2,0.9,1.1,0.7,0.5,0.2,0.8,1.1
131.0,Vic Manuel,SMB,12.0,5.0,2.3,1.0,2.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0.3,0.4,0.7,0.3,0.0,0.1,0.5,1.3
132.0,Jewel Ponferada,TNT,14.0,8.2,2.2,0.8,1.5,0.524,0.4,0.7,0.5,0.3,0.6,0.5,0.5,1.3,1.8,0.5,0.1,0.5,0.8,1.6
133.0,Von Rolfe Pessumal,BGK,13.0,6.9,2.2,0.7,2.3,0.3,0.5,1.8,0.292,0.2,0.3,0.75,0.1,0.5,0.6,0.0,0.1,0.0,0.7,0.5
134.0,Brian Quinton Heruela,TNT,13.0,9.4,2.1,0.8,2.2,0.393,0.4,1.2,0.333,0.0,0.1,0.0,0.5,0.6,1.1,0.8,0.3,0.0,0.2,0.9
135.0,Simon Camacho,FUEL,11.0,8.8,2.0,0.9,1.7,0.526,0.0,0.0,0.0,0.2,0.2,1.0,0.7,0.8,1.5,0.3,0.3,0.6,0.3,2.2
136.0,Chris Lalata,FUEL,11.0,5.3,1.9,0.8,1.2,0.692,0.2,0.3,0.667,0.1,0.5,0.2,0.1,0.2,0.3,0.1,0.0,0.2,0.2,0.9
137.0,Michael Joseph Nieto,XERS,11.0,10.5,1.8,0.8,2.6,0.31,0.0,1.2,0.0,0.2,0.2,1.0,0.8,1.2,2.0,0.3,0.4,0.0,0.2,0.6
138.0,Kamron Fleming,XERS,10.0,6.2,1.8,0.7,1.9,0.368,0.2,0.6,0.333,0.2,0.6,0.333,0.3,0.9,1.2,0.1,0.1,0.2,0.2,0.5
139.0,Jayson David,BGK,12.0,4.1,1.7,0.5,1.3,0.375,0.1,0.3,0.333,0.6,0.8,0.778,0.2,0.3,0.5,0.6,0.3,0.0,0.1,0.7
140.0,Kyle Pascual,MER,21.0,8.6,1.5,0.6,1.3,0.464,0.0,0.0,0.0,0.3,0.4,0.667,0.5,1.1,1.6,0.2,0.0,0.2,0.3,2.1
141.0,Jansen Rios,MER,15.0,6.9,1.5,0.5,1.4,0.381,0.3,1.0,0.267,0.1,0.1,1.0,0.3,0.6,0.9,0.4,0.2,0.1,0.1,1.0
142.0,Alvin Pasaol,MER,14.0,7.7,1.1,0.4,2.1,0.207,0.1,1.3,0.056,0.2,0.9,0.25,0.6,0.9,1.4,0.3,0.2,0.1,0.3,1.1
143.0,Ryan Reyes,TNT,11.0,7.0,0.7,0.2,0.6,0.286,0.1,0.5,0.2,0.3,0.4,0.75,0.0,0.6,0.6,1.2,0.5,0.0,0.4,0.6
