Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST,BLK,MIN,PTS,REB,STL,AST%,BLK%,DRB%,DRtg,FIC,ORB%,ORtg,PER,PPR,PPS,STL%,TOV%,TRB%,TS%,Total S %,USG%,eDiff,eFG%,20 Ast,20 Reb,40 Pts,5 Blk,5 Stl,Ast/TO,DWS,Dbl Dbl,FT/FGA,HOB,High Game,L's,OWS,Stl/TO,Techs,Tpl Dbl,W's,WS,Win %
Clifford Hodge,MER,26.0,33.9,9.7,4.2,8.5,0.495,0.0,0.1,0.0,1.3,2.1,0.636,3.5,4.4,7.9,2.2,0.9,1.0,1.7,3.4,58.0,27.0,882.1,253.0,205.0,24.0,11.2,3.1,14.7,100.8,263.4,11.3,108.1,14.2,-0.8,1.2,1.5,15.6,13.0,0.518,113.2,15.7,7.3,0.495,0.0,0.0,0.0,1.0,0.0,1.3,1.5,5.0,0.3,0.188,25.0,10.0,0.9,0.5,0.0,0.0,16.0,2.4,0.615
Ricci Paolo Rivero,FUEL,11.0,16.9,9.7,3.0,8.2,0.367,0.5,2.5,0.185,3.3,4.9,0.667,0.6,1.5,2.1,1.5,0.5,0.2,1.2,2.5,17.0,2.0,185.8,107.0,23.0,6.0,16.9,1.0,9.0,109.3,36.8,4.3,97.1,12.9,-0.9,1.2,1.7,10.3,6.7,0.47,121.9,30.8,-12.1,0.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Herndon,NLEX,12.0,23.3,9.7,3.3,8.3,0.39,2.3,5.4,0.415,0.9,1.7,0.55,0.6,3.6,4.2,1.2,0.5,0.0,0.6,1.2,14.0,0.0,280.0,116.0,50.0,6.0,9.4,0.0,18.5,110.9,78.8,2.8,108.4,13.3,0.9,1.2,1.2,6.0,10.3,0.533,135.5,19.6,-2.5,0.525,0.0,0.0,0.0,0.0,0.0,2.0,0.1,1.0,0.2,0.137,25.0,7.0,0.3,0.9,0.0,0.0,5.0,0.5,0.417
R.J. Jazul,FUEL,11.0,20.5,9.6,2.8,7.8,0.36,2.1,6.6,0.315,1.9,2.4,0.808,0.4,1.5,1.9,1.8,0.8,0.0,1.2,1.6,20.0,0.0,225.4,106.0,21.0,9.0,15.3,0.0,7.9,109.6,55.5,2.0,106.7,13.2,0.1,1.2,2.1,11.8,5.1,0.544,148.3,22.2,-2.9,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aris Dionisio,SHOT,9.0,24.2,9.6,3.4,7.6,0.456,1.9,4.0,0.472,0.8,0.9,0.875,1.7,4.1,5.8,0.6,0.6,0.4,0.9,3.1,5.0,4.0,217.4,86.0,52.0,5.0,4.0,2.2,20.6,101.9,66.8,8.2,119.4,15.0,-2.2,1.3,1.3,10.1,14.3,0.601,180.3,16.9,17.5,0.581,0.0,0.0,0.0,0.0,0.0,0.6,0.3,1.0,0.1,0.117,22.0,4.0,0.5,0.6,0.0,0.0,5.0,0.8,0.556
Scottie Thompson,BGK,13.0,37.0,9.5,3.5,10.5,0.336,1.5,4.5,0.322,1.0,1.9,0.52,2.5,5.5,8.0,5.2,2.1,1.0,2.2,2.8,68.0,13.0,480.6,124.0,104.0,27.0,23.7,2.4,15.2,94.2,158.6,7.5,96.5,13.0,3.6,0.9,3.2,16.4,11.5,0.419,117.8,17.1,2.4,0.405,0.0,0.0,0.0,0.0,2.0,2.3,1.2,5.0,0.2,0.264,20.0,5.0,-0.1,0.9,0.0,0.0,8.0,1.1,0.615
Jericho Cruz,SMB,21.0,23.6,9.3,3.4,8.5,0.402,0.6,2.7,0.232,1.8,2.2,0.809,0.9,1.8,2.7,1.7,0.6,0.1,1.0,1.9,35.0,2.0,496.1,195.0,56.0,12.0,10.9,0.4,8.1,110.2,97.1,3.9,105.2,11.5,0.3,1.1,1.3,9.9,6.0,0.488,144.3,20.1,-5.0,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Pringle,BGK,19.0,22.9,9.3,3.7,8.5,0.435,1.5,3.8,0.397,0.4,0.8,0.438,0.6,2.1,2.6,1.7,1.1,0.1,1.2,1.4,32.0,2.0,435.5,176.0,50.0,20.0,14.0,0.4,9.5,100.6,108.0,2.8,103.0,12.9,-0.2,1.1,2.5,11.6,6.2,0.524,127.0,20.2,2.4,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Raniel Navarro,NPB,10.0,24.8,9.2,3.2,9.1,0.352,0.7,2.7,0.259,2.1,3.2,0.656,2.2,4.9,7.1,1.5,0.4,1.4,1.8,2.7,15.0,14.0,248.3,92.0,71.0,4.0,9.7,5.1,20.7,107.0,72.0,9.2,90.5,10.9,-3.1,1.0,0.8,14.6,14.9,0.438,126.7,21.7,-16.5,0.39,0.0,0.0,0.0,0.0,0.0,0.8,0.2,2.0,0.4,0.128,17.0,7.0,-0.3,0.2,0.0,0.0,3.0,0.0,0.3
Jhan Nermal,NLEX,10.0,16.9,9.2,3.0,8.2,0.366,0.9,2.7,0.333,2.3,3.2,0.719,1.4,1.4,2.8,0.2,0.1,0.2,0.8,1.2,2.0,2.0,168.7,92.0,28.0,1.0,2.2,1.2,9.8,114.7,34.0,9.2,100.2,12.8,-4.0,1.1,0.3,7.7,9.5,0.479,141.8,28.3,-14.4,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian David,BLAC,11.0,24.7,9.2,3.7,9.4,0.398,1.0,3.9,0.256,0.7,1.5,0.471,1.5,5.0,6.5,1.0,0.5,0.5,1.3,1.1,11.0,5.0,271.2,101.0,72.0,6.0,7.0,1.8,23.9,104.9,77.6,6.4,92.3,11.5,-2.5,1.0,1.2,11.2,14.5,0.457,112.4,21.0,-12.6,0.451,0.0,0.0,0.0,0.0,0.0,0.8,0.3,2.0,0.2,0.134,26.0,7.0,-0.2,0.4,0.0,0.0,4.0,0.1,0.364
Rey Anthony Suerte,BLAC,11.0,21.9,9.0,3.6,7.1,0.513,1.0,2.9,0.344,0.7,1.5,0.471,0.3,3.2,3.5,2.6,0.6,0.5,0.7,1.9,29.0,5.0,241.4,99.0,38.0,7.0,21.2,2.0,17.1,105.5,85.9,1.3,117.4,16.5,4.8,1.3,1.5,8.6,8.6,0.579,132.7,17.7,11.8,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allyn Bulanadi,NPB,12.0,13.4,8.6,3.1,7.8,0.398,0.5,2.5,0.2,1.9,2.2,0.885,0.3,0.9,1.3,1.4,0.8,0.1,0.7,0.9,17.0,1.0,160.6,103.0,15.0,9.0,19.9,0.6,7.3,109.4,49.3,2.6,103.1,16.9,2.0,1.1,2.8,7.1,5.0,0.493,148.2,30.4,-6.3,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javee Mocon,FUEL,11.0,26.5,8.5,3.3,7.5,0.434,0.5,1.5,0.375,1.4,2.1,0.652,1.7,4.7,6.5,2.3,1.7,0.7,2.5,2.3,25.0,8.0,291.8,93.0,71.0,19.0,14.4,2.6,18.5,101.1,91.6,7.4,91.6,12.5,-3.8,1.1,3.4,23.1,13.2,0.499,146.1,18.7,-9.4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn Khobuntin,TNT,14.0,28.0,8.4,3.1,7.6,0.402,1.1,3.6,0.3,1.1,1.9,0.593,1.9,2.8,4.7,1.0,0.2,0.3,1.0,3.1,14.0,4.0,392.2,117.0,66.0,3.0,5.6,1.0,10.7,111.3,67.9,7.8,104.3,8.6,-1.2,1.1,0.4,10.5,9.3,0.492,129.4,15.4,-7.1,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayjay Alejandro,FUEL,11.0,16.5,8.3,2.6,6.5,0.403,1.4,4.5,0.306,1.6,1.9,0.857,0.1,1.6,1.7,2.9,0.5,0.0,1.3,1.7,32.0,0.0,181.0,91.0,19.0,6.0,31.7,0.0,10.4,109.3,58.1,0.6,110.4,15.7,4.0,1.3,1.7,14.7,5.7,0.56,156.6,23.8,1.2,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moala Tautuaa,SMB,22.0,20.3,8.1,3.1,6.4,0.493,0.5,1.4,0.4,1.3,2.0,0.674,1.6,3.3,4.9,1.2,0.4,0.6,1.0,2.7,27.0,13.0,447.5,179.0,108.0,8.0,9.5,2.7,16.6,105.6,144.9,8.7,116.2,15.7,-0.7,1.3,0.9,11.7,12.8,0.563,156.7,18.1,10.6,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Kwekuteye,BLAC,11.0,17.7,8.1,3.0,7.1,0.423,1.1,3.9,0.279,1.0,1.0,1.0,0.3,1.3,1.5,1.5,0.5,0.1,0.5,1.2,16.0,1.0,194.8,89.0,17.0,5.0,14.5,0.5,8.4,109.3,49.4,1.6,111.4,14.0,2.4,1.1,1.4,6.8,4.7,0.537,170.2,20.8,2.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raymond Almazan,MER,23.0,21.5,8.0,3.3,7.5,0.439,0.5,1.0,0.458,1.0,1.3,0.759,2.3,4.4,6.7,0.7,0.2,0.6,0.7,3.6,16.0,14.0,494.6,185.0,154.0,5.0,5.9,2.8,23.1,98.0,150.6,11.7,109.7,15.0,-1.2,1.1,0.6,7.9,17.3,0.498,165.6,19.6,11.7,0.471,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.2,0.119,17.0,8.0,0.7,0.3,0.0,0.0,15.0,1.7,0.652
Louis Cu,BGK,18.0,26.6,7.9,2.8,6.4,0.443,1.9,4.7,0.417,0.3,0.4,0.75,0.7,2.5,3.2,2.4,0.4,0.3,0.9,1.8,44.0,5.0,479.3,143.0,57.0,7.0,15.7,1.0,9.9,104.3,122.5,2.7,119.9,11.8,2.7,1.2,0.8,12.5,6.4,0.603,161.0,13.0,15.6,0.596,0.0,0.0,0.0,0.0,0.0,2.6,0.6,1.0,0.1,0.159,24.0,8.0,0.8,0.4,0.0,0.0,10.0,1.4,0.556
John Calma,NPB,7.0,17.2,7.9,3.4,5.9,0.585,0.0,0.0,0.0,1.0,1.1,0.875,2.3,2.7,5.0,1.0,0.3,0.1,1.1,2.4,7.0,1.0,120.2,55.0,35.0,2.0,10.6,0.8,16.9,104.7,45.0,14.0,116.7,16.8,-2.6,1.3,0.8,15.2,15.4,0.618,146.0,18.7,12.0,0.585,0.0,0.0,0.0,0.0,0.0,0.9,0.1,1.0,0.2,0.119,22.0,3.0,0.3,0.3,0.0,0.0,4.0,0.4,0.571
Regile Ilagan,BLAC,11.0,16.5,7.8,2.7,6.5,0.417,1.4,4.2,0.326,1.0,1.1,0.917,0.4,2.7,3.1,3.4,0.9,0.1,1.1,2.0,37.0,1.0,181.0,86.0,34.0,10.0,35.9,0.5,19.5,102.7,79.0,2.2,114.6,19.4,7.1,1.2,2.9,13.4,10.2,0.556,165.9,22.6,11.8,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kim Aurin,TNT,14.0,16.0,7.7,2.6,5.3,0.5,1.4,2.9,0.463,1.1,1.4,0.75,0.3,1.5,1.8,0.9,0.3,0.3,0.8,1.7,13.0,4.0,223.8,108.0,25.0,4.0,10.1,1.7,10.0,109.9,62.8,2.0,121.2,15.5,-1.0,1.5,0.9,11.7,6.1,0.652,171.3,19.0,11.3,0.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enoch Valdez,NLEX,13.0,19.5,7.7,2.9,7.0,0.418,0.5,2.4,0.194,1.4,2.5,0.545,1.5,2.8,4.3,0.4,0.8,0.2,1.1,1.8,5.0,2.0,253.2,100.0,56.0,10.0,3.8,0.8,17.5,107.5,57.6,8.3,94.3,11.7,-4.4,1.1,2.1,11.7,12.7,0.474,115.7,22.3,-13.2,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Datu,ROS,11.0,20.3,7.5,2.5,7.0,0.364,1.1,4.3,0.255,1.4,2.0,0.682,1.5,2.5,4.1,0.9,0.3,0.7,0.6,2.1,10.0,8.0,223.6,83.0,45.0,3.0,6.8,2.9,13.5,111.2,57.5,7.8,103.3,11.2,-0.1,1.1,0.7,7.5,10.6,0.479,130.1,18.0,-7.9,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Fajardo,NLEX,11.0,19.1,7.5,3.0,4.9,0.611,0.3,0.5,0.6,1.2,2.3,0.52,1.3,2.0,3.3,1.4,0.9,0.6,0.6,3.1,15.0,7.0,209.9,82.0,36.0,10.0,13.8,3.2,12.6,107.2,70.6,7.5,125.6,18.1,1.5,1.5,2.6,9.7,10.0,0.631,173.1,16.4,18.4,0.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Christian Zamar,NPB,12.0,18.0,7.2,2.4,5.3,0.453,1.3,2.8,0.441,1.1,1.7,0.65,0.8,1.0,1.8,1.7,0.6,0.1,0.8,1.9,20.0,1.0,216.4,86.0,21.0,7.0,14.8,0.4,6.0,112.3,56.0,4.4,116.6,12.9,1.9,1.3,1.6,11.0,5.2,0.591,154.4,16.5,4.3,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovani Jalalon,SHOT,10.0,21.4,7.1,2.5,6.7,0.373,0.3,1.3,0.231,1.8,2.0,0.9,0.8,3.6,4.4,4.2,1.6,0.0,1.8,3.0,42.0,0.0,214.3,71.0,44.0,16.0,32.3,0.0,20.0,96.4,73.3,4.3,101.7,14.5,4.8,1.1,4.0,19.2,12.0,0.468,150.4,19.8,5.2,0.396,0.0,0.0,0.0,0.0,1.0,2.3,0.5,1.0,0.3,0.193,15.0,4.0,0.1,0.9,0.0,0.0,6.0,0.6,0.6
Fredrick Tungcab,BLAC,10.0,15.1,7.0,2.7,6.5,0.415,1.3,3.4,0.382,0.3,0.8,0.375,0.4,2.0,2.4,2.2,1.2,0.1,1.1,1.7,22.0,1.0,151.1,70.0,24.0,12.0,25.6,0.6,15.5,101.3,52.8,2.6,101.2,16.4,2.5,1.1,4.2,13.8,8.5,0.511,117.3,24.0,-0.1,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Rosser,TNT,13.0,20.6,6.5,2.2,5.2,0.426,0.2,1.3,0.176,1.8,3.8,0.48,1.5,3.8,5.3,0.8,0.5,1.2,1.1,3.1,11.0,16.0,267.5,85.0,69.0,6.0,6.6,5.6,19.7,103.5,71.0,8.4,97.4,11.4,-2.5,1.3,1.2,13.5,14.2,0.472,108.3,17.7,-6.1,0.449,0.0,0.0,0.0,0.0,0.0,0.8,0.4,1.0,0.7,0.088,15.0,6.0,0.0,0.4,0.0,0.0,7.0,0.4,0.538
Bradwyn Guinto,BLAC,11.0,22.6,6.4,2.8,5.0,0.564,0.0,0.0,0.0,0.7,1.4,0.533,1.9,3.5,5.4,1.5,0.4,0.5,1.2,3.5,17.0,6.0,249.0,70.0,59.0,4.0,11.2,2.3,17.9,106.4,67.6,8.5,110.0,12.0,-0.7,1.3,0.9,17.4,12.9,0.568,109.7,13.7,3.6,0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Miranda,NLEX,12.0,18.5,6.2,2.2,5.0,0.433,1.1,2.1,0.52,0.8,1.0,0.75,0.3,2.7,3.0,0.9,0.2,0.2,0.8,2.8,11.0,2.0,221.5,74.0,36.0,2.0,8.8,0.9,17.0,109.5,41.5,2.0,107.5,9.5,-0.8,1.2,0.5,12.1,9.4,0.567,170.3,15.9,-1.9,0.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anton Asistio,ROS,16.0,12.0,6.1,2.1,5.6,0.378,1.3,4.1,0.303,0.6,0.8,0.833,0.3,1.0,1.3,1.4,0.4,0.0,0.4,1.2,23.0,0.0,191.8,98.0,20.0,6.0,19.3,0.0,8.6,108.9,55.5,2.2,108.6,13.8,4.5,1.1,1.5,5.9,5.4,0.514,151.4,22.5,-0.2,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Sangalang,DYIP,14.0,17.3,6.0,2.2,4.3,0.517,0.1,0.3,0.25,1.5,2.1,0.724,1.1,2.2,3.3,1.3,0.2,0.3,1.1,2.3,18.0,4.0,241.9,84.0,46.0,3.0,12.2,1.5,14.0,113.1,60.4,7.3,111.6,12.5,-1.3,1.4,0.7,17.1,10.8,0.577,149.1,16.9,-1.5,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
King Caralipio,XERS,11.0,21.7,6.0,2.2,5.0,0.436,0.8,2.4,0.346,0.8,1.0,0.818,1.8,4.4,6.2,0.9,0.5,0.2,1.1,2.3,10.0,2.0,238.3,66.0,68.0,5.0,7.1,0.8,21.6,112.2,69.1,8.9,108.6,11.5,-2.2,1.2,1.1,16.7,15.2,0.551,160.1,13.7,-3.7,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemark Carino,DYIP,12.0,21.4,5.8,2.3,5.8,0.4,0.6,2.8,0.206,0.5,0.7,0.75,1.7,2.6,4.3,0.6,0.6,2.2,0.6,3.1,7.0,26.0,257.1,69.0,51.0,7.0,4.4,8.8,13.3,107.9,71.3,9.0,104.0,12.7,-0.9,1.0,1.5,8.7,11.2,0.469,135.6,14.7,-3.9,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Rodger,NLEX,10.0,22.4,5.6,1.9,6.1,0.311,0.9,3.7,0.243,0.9,0.9,1.0,0.4,2.7,3.1,1.9,0.5,0.3,0.6,1.4,19.0,3.0,224.0,56.0,31.0,5.0,14.3,1.3,14.7,111.3,45.1,2.0,95.9,8.4,3.1,0.9,1.2,8.5,8.0,0.431,155.5,15.2,-15.4,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Borboran,ROS,15.0,16.3,5.6,2.2,3.7,0.589,0.3,1.0,0.333,0.9,0.9,0.929,0.7,2.3,3.0,1.1,0.7,0.7,0.5,1.1,17.0,10.0,244.4,84.0,45.0,11.0,10.6,3.4,14.6,103.0,95.8,4.7,131.9,16.5,1.6,1.5,2.2,10.1,9.7,0.676,185.1,12.1,28.8,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fran Louie Yu,NPB,12.0,15.5,5.4,1.6,5.1,0.311,0.7,3.1,0.216,1.6,2.1,0.76,0.4,1.5,1.9,3.8,1.4,0.0,1.0,2.3,46.0,0.0,185.8,65.0,23.0,17.0,37.6,0.0,10.4,104.5,65.9,2.8,104.2,14.7,9.5,1.1,4.5,14.3,6.6,0.451,128.8,19.7,-0.2,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaun Ildefonso,ROS,16.0,11.6,5.4,2.0,4.4,0.457,0.4,1.8,0.25,0.9,1.8,0.517,0.7,1.3,2.0,0.4,0.3,0.3,0.6,0.6,6.0,4.0,184.9,86.0,32.0,4.0,5.3,1.8,11.8,107.9,48.4,6.2,99.4,12.3,-3.0,1.2,1.1,10.8,9.0,0.52,122.4,21.4,-8.5,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Matthew Nieto,NLEX,11.0,20.2,5.3,2.0,5.7,0.349,0.4,2.0,0.182,0.9,1.3,0.714,0.3,1.5,1.7,3.1,0.5,0.0,1.2,1.6,34.0,0.0,221.8,58.0,19.0,6.0,26.6,0.0,8.9,114.6,38.5,1.5,92.3,7.8,4.5,0.9,1.5,15.8,5.0,0.419,124.5,17.4,-22.2,0.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amer Baser,NLEX,12.0,19.1,5.3,2.0,5.2,0.387,0.8,3.0,0.278,0.4,0.8,0.5,0.3,1.3,1.6,1.8,0.3,0.1,1.3,2.3,22.0,1.0,229.6,63.0,19.0,4.0,16.7,0.4,7.8,113.2,26.0,1.9,90.6,6.0,-0.1,1.0,0.9,18.4,4.8,0.474,116.5,16.8,-22.5,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Laput,SHOT,11.0,14.1,5.2,2.0,3.8,0.524,0.0,0.0,0.0,1.2,1.6,0.722,0.8,1.8,2.6,0.5,0.1,0.1,1.0,2.1,5.0,1.0,155.0,57.0,29.0,1.0,6.0,0.8,15.4,104.7,27.3,6.6,102.8,10.1,-5.1,1.4,0.4,18.1,10.9,0.571,124.6,18.0,-1.9,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rome de la Rosa,SHOT,6.0,21.9,5.0,2.0,5.3,0.375,0.5,1.8,0.273,0.5,0.7,0.75,0.5,1.7,2.2,1.2,0.7,0.0,0.3,2.0,7.0,0.0,131.6,30.0,13.0,4.0,8.8,0.0,9.4,107.4,18.0,2.6,99.6,7.3,2.2,0.9,1.7,5.6,5.9,0.444,139.8,13.0,-7.8,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrus Hill,BLAC,11.0,19.0,5.0,2.1,4.8,0.434,0.1,1.0,0.091,0.7,0.8,0.889,1.3,1.9,3.2,0.9,0.9,0.5,1.0,2.1,10.0,5.0,208.8,55.0,35.0,10.0,7.7,2.3,11.8,104.4,44.1,6.8,96.8,10.1,-2.1,1.0,2.5,16.2,9.1,0.483,141.4,14.9,-7.6,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeffrei Chan,NPB,8.0,14.0,5.0,2.0,4.6,0.432,0.6,1.9,0.333,0.4,0.9,0.429,0.0,1.1,1.1,1.3,1.0,0.1,0.8,0.3,10.0,1.0,111.8,40.0,9.0,8.0,14.6,0.8,8.9,108.5,28.4,0.0,93.6,11.3,0.6,1.1,3.6,13.0,4.4,0.499,119.4,18.1,-14.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John De Los Santos,XERS,11.0,20.5,4.9,2.1,3.9,0.535,0.5,1.1,0.417,0.3,0.6,0.429,1.1,1.6,2.7,3.8,0.8,0.2,1.8,1.8,42.0,2.0,225.5,54.0,30.0,9.0,31.3,0.8,8.5,114.5,67.6,5.6,106.8,12.2,3.5,1.3,2.1,30.3,7.1,0.586,138.0,13.3,-7.6,0.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aljun Melecio,XERS,11.0,13.9,4.9,1.6,5.9,0.277,1.0,3.6,0.275,0.6,0.6,1.0,0.7,1.1,1.8,1.5,0.2,0.0,0.6,0.9,16.0,0.0,152.4,54.0,20.0,2.0,18.2,0.0,8.5,118.1,25.6,5.5,92.7,7.7,2.4,0.8,0.7,9.3,7.0,0.397,155.2,22.5,-25.4,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
