Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST,BLK,MIN,PTS,REB,STL,AST%,BLK%,DRB%,DRtg,FIC,ORB%,ORtg,PER,PPR,PPS,STL%,TOV%,TRB%,TS%,Total S %,USG%,eDiff,eFG%,20 Ast,20 Reb,40 Pts,5 Blk,5 Stl,Ast/TO,DWS,Dbl Dbl,FT/FGA,HOB,High Game,L's,OWS,Stl/TO,Techs,Tpl Dbl,W's,WS,Win %
Abu Jahal Tratter,SHOT,12.0,15.3,4.8,2.2,3.4,0.634,0.0,0.0,0.0,0.5,1.3,0.4,1.3,1.7,3.0,0.4,0.3,0.0,1.3,2.0,5.0,0.0,183.1,58.0,36.0,3.0,5.0,0.0,13.0,105.6,32.6,10.0,96.9,9.5,-7.2,1.4,0.9,25.2,11.5,0.609,103.4,16.0,-8.7,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Daves,FUEL,10.0,13.6,4.8,1.9,2.7,0.704,0.0,0.0,0.0,1.0,1.8,0.556,0.8,1.5,2.3,0.3,0.2,0.3,0.5,0.7,3.0,3.0,135.5,48.0,23.0,2.0,3.8,2.1,11.9,109.8,39.8,6.7,125.7,14.4,-2.2,1.8,0.8,12.5,9.4,0.687,125.9,13.2,15.8,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Galinato,TNT,13.0,11.9,4.8,1.7,3.3,0.512,0.0,0.2,0.0,1.4,2.0,0.692,1.5,2.6,4.2,0.7,0.2,0.2,1.7,1.8,9.0,2.0,155.2,62.0,54.0,3.0,9.6,1.2,23.4,105.6,45.5,14.7,96.3,12.5,-10.1,1.4,1.0,28.8,19.2,0.569,120.4,22.4,-9.4,0.512,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1.0,0.6,0.067,17.0,6.0,0.0,0.1,0.0,0.0,7.0,0.1,0.538
Gelo Alolino,DYIP,14.0,13.7,4.7,1.8,4.7,0.379,0.4,1.3,0.278,0.8,1.1,0.688,0.3,0.9,1.2,1.8,0.5,0.1,0.8,0.9,25.0,2.0,191.2,66.0,17.0,7.0,21.6,0.9,7.4,113.4,41.3,2.5,97.7,10.7,3.0,1.0,2.0,13.1,5.0,0.452,134.4,20.5,-15.7,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anjo Caram,MER,24.0,14.7,4.7,1.7,4.0,0.427,1.0,2.2,0.434,0.3,0.3,0.875,0.3,0.5,0.8,1.2,0.2,0.1,0.5,1.4,28.0,2.0,352.5,112.0,18.0,5.0,13.4,0.6,3.8,108.1,59.0,1.9,116.1,10.3,2.3,1.2,0.8,10.0,2.8,0.563,173.6,15.0,8.1,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Anthony,NLEX,10.0,14.4,4.6,1.4,5.5,0.255,0.2,1.9,0.105,1.6,2.2,0.727,1.0,2.3,3.3,0.8,0.7,0.0,1.0,2.3,8.0,0.0,144.1,46.0,33.0,7.0,9.9,0.0,20.0,106.8,17.3,7.4,78.0,5.7,-3.3,0.8,2.6,13.4,13.2,0.356,108.7,24.4,-28.8,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larry Muyang,FUEL,10.0,15.4,4.4,1.5,4.7,0.319,0.5,2.6,0.192,0.9,1.2,0.75,0.9,2.6,3.5,0.3,0.0,0.3,0.2,2.1,3.0,3.0,154.4,44.0,35.0,0.0,3.1,1.9,18.2,109.0,26.3,6.7,97.4,7.2,0.0,0.9,0.0,3.7,12.6,0.421,126.1,15.9,-11.6,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Bates,MER,20.0,20.2,4.4,1.9,2.9,0.655,0.0,0.0,0.0,0.6,2.0,0.308,2.5,4.0,6.5,0.5,0.4,1.5,0.9,3.3,9.0,29.0,404.5,88.0,129.0,8.0,3.6,7.0,22.4,96.3,135.4,13.4,112.5,14.6,-2.9,1.5,1.1,18.4,17.8,0.585,96.3,11.0,16.3,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Escoto,BLAC,11.0,13.5,4.1,1.5,3.5,0.41,0.6,1.6,0.389,0.5,1.0,0.545,0.6,1.5,2.1,0.5,0.3,0.3,0.5,1.4,5.0,3.0,148.9,45.0,23.0,3.0,5.3,1.9,12.6,107.7,29.1,4.8,103.3,9.5,-1.1,1.2,1.1,10.2,8.4,0.513,134.5,15.0,-4.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Rodney Brondial,SMB,22.0,13.4,4.0,2.0,3.3,0.589,0.0,0.1,0.5,0.1,0.6,0.143,2.0,2.3,4.4,1.0,0.2,0.2,0.4,1.8,22.0,4.0,295.4,89.0,96.0,5.0,11.3,1.3,17.8,106.1,114.3,16.5,127.0,16.6,1.9,1.2,0.9,10.2,17.1,0.562,123.2,13.4,20.9,0.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philip Cahilig,DYIP,14.0,16.7,4.0,1.4,3.4,0.417,1.1,2.4,0.455,0.1,0.4,0.2,0.9,2.4,3.4,0.8,0.2,0.5,0.9,1.9,11.0,7.0,234.3,56.0,47.0,3.0,7.2,2.6,15.9,111.8,52.6,6.5,103.7,9.0,-2.0,1.2,0.7,19.3,11.4,0.558,107.1,12.4,-8.1,0.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Mendoza,MER,12.0,9.2,4.0,1.3,3.1,0.432,0.9,2.3,0.393,0.4,0.7,0.625,0.0,0.5,0.5,0.8,0.2,0.0,0.5,1.1,10.0,0.0,110.9,48.0,6.0,2.0,15.8,0.0,6.1,106.0,21.3,0.0,111.9,12.1,0.6,1.3,1.0,12.9,3.0,0.592,145.0,19.8,5.8,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Jed Mendoza,SHOT,12.0,15.0,3.8,1.3,3.3,0.375,0.6,1.9,0.304,0.7,0.9,0.727,0.3,0.9,1.3,1.6,0.7,0.0,0.8,1.2,19.0,0.0,180.4,45.0,15.0,8.0,17.4,0.0,7.3,104.3,34.1,2.5,103.3,9.2,2.1,1.1,2.4,16.7,4.9,0.502,140.7,13.7,-1.1,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Eriobu,SHOT,12.0,9.4,3.7,1.4,3.3,0.425,0.5,1.5,0.333,0.3,0.6,0.571,0.5,0.8,1.3,0.1,0.4,0.0,0.4,1.4,1.0,0.0,113.4,44.0,15.0,5.0,1.6,0.0,9.5,103.2,16.6,6.1,100.2,9.9,-4.0,1.1,2.4,10.4,7.7,0.511,133.0,19.5,-3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raffy Verano,FUEL,11.0,11.6,3.6,1.5,4.2,0.348,0.3,1.0,0.273,0.5,0.9,0.5,0.7,1.8,2.5,0.4,0.4,0.1,0.8,0.9,4.0,1.0,128.0,40.0,28.0,4.0,5.3,0.7,16.3,106.8,19.8,7.1,78.8,6.2,-4.9,0.9,1.6,15.2,11.9,0.397,112.1,21.0,-28.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nard Pinto,BGK,19.0,16.4,3.6,1.3,3.4,0.391,0.6,1.6,0.355,0.4,0.6,0.667,0.6,2.3,2.9,1.1,0.5,0.0,0.8,1.1,21.0,0.0,310.8,69.0,55.0,9.0,11.1,0.0,14.6,100.7,64.3,4.2,97.6,8.3,-0.7,1.1,1.6,18.8,9.5,0.498,141.2,12.7,-3.0,0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Ross,SMB,23.0,24.6,3.6,1.1,3.6,0.313,0.9,3.0,0.304,0.4,0.6,0.643,0.2,2.3,2.5,3.0,1.3,0.2,1.0,1.4,68.0,4.0,565.9,82.0,58.0,29.0,15.9,0.7,9.9,106.1,121.5,0.8,103.0,8.2,4.1,1.0,2.7,19.8,5.4,0.46,126.0,8.8,-3.1,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Demusis,ROS,17.0,11.2,3.5,1.3,2.9,0.449,0.3,0.9,0.313,0.6,0.9,0.625,0.6,1.9,2.5,0.5,0.4,0.1,0.2,1.2,8.0,1.0,190.3,59.0,43.0,7.0,6.2,0.4,17.8,104.5,53.0,5.4,110.9,11.3,0.6,1.2,1.8,6.7,11.6,0.526,138.6,13.4,6.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeron Teng,SMB,17.0,8.4,3.5,1.2,3.4,0.362,0.4,1.0,0.353,0.6,0.8,0.786,0.3,0.7,1.0,0.5,0.2,0.0,0.8,1.1,9.0,0.0,142.7,59.0,17.0,3.0,9.7,0.0,8.5,109.1,13.8,3.8,89.0,6.9,-4.8,1.0,1.1,16.8,6.2,0.46,150.1,24.1,-20.1,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sidney Onwubere,BGK,15.0,11.3,3.5,1.0,2.8,0.357,0.3,1.0,0.267,1.2,2.1,0.581,1.5,2.0,3.5,0.7,0.3,0.3,0.6,2.0,10.0,4.0,169.8,52.0,53.0,4.0,9.6,2.2,18.6,98.4,48.4,14.6,104.1,12.2,-1.4,1.2,1.3,13.9,16.6,0.467,120.4,17.4,5.7,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldrech Ramos,DYIP,14.0,14.8,3.4,1.4,3.1,0.465,0.3,1.0,0.286,0.3,0.4,0.8,0.6,1.4,2.0,0.9,0.3,0.3,0.4,2.0,12.0,4.0,207.5,48.0,28.0,4.0,9.0,1.7,10.0,113.7,37.1,5.1,111.9,8.8,1.0,1.1,1.0,11.7,7.6,0.531,155.1,11.4,-1.8,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Maagdenberg,XERS,11.0,15.2,3.4,1.1,3.4,0.324,0.1,0.7,0.125,1.1,1.6,0.667,1.3,1.7,3.0,0.6,0.5,0.3,0.8,2.1,7.0,3.0,166.7,37.0,33.0,5.0,6.7,1.6,12.2,113.7,25.3,8.8,90.1,6.8,-2.6,1.0,1.5,16.7,10.5,0.412,111.6,14.7,-23.6,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kib Montalbo,TNT,14.0,15.4,3.4,1.4,3.4,0.396,0.4,1.3,0.278,0.3,0.4,0.667,0.1,1.1,1.1,2.1,0.3,0.1,0.6,2.6,30.0,1.0,215.0,47.0,16.0,4.0,21.3,0.4,7.5,111.2,29.0,0.5,102.5,6.5,5.1,1.0,1.0,15.1,4.1,0.464,134.0,12.6,-8.7,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kris Rosales,NPB,12.0,13.7,3.3,1.2,3.3,0.35,0.4,1.9,0.217,0.6,0.8,0.7,0.3,0.9,1.3,1.3,0.4,0.1,0.7,1.4,15.0,1.0,163.9,40.0,15.0,5.0,13.6,0.6,7.2,112.1,23.0,2.6,93.1,6.2,1.2,1.0,1.5,15.3,4.9,0.45,126.7,13.9,-19.0,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Marcelo,NLEX,11.0,15.5,3.3,1.2,2.5,0.464,0.0,0.0,0.0,0.9,2.1,0.435,1.5,2.2,3.7,1.5,0.4,0.5,1.0,2.8,16.0,5.0,170.3,36.0,41.0,4.0,15.7,2.8,16.4,105.3,39.9,11.4,100.7,9.8,-0.2,1.3,1.3,22.4,13.9,0.472,89.9,13.7,-4.7,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.A. Tenorio,BGK,19.0,13.9,3.2,1.2,3.3,0.349,0.6,1.7,0.333,0.3,0.4,0.75,0.2,1.9,2.1,1.8,0.3,0.0,0.5,1.1,35.0,0.0,263.2,61.0,40.0,5.0,22.0,0.0,14.4,101.9,62.3,1.7,106.1,9.2,5.7,1.0,1.1,11.9,8.2,0.459,143.3,13.3,4.2,0.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Raymar,MER,10.0,10.8,3.2,1.4,3.0,0.467,0.0,0.6,0.0,0.4,0.4,1.0,1.0,1.7,2.7,0.7,0.1,0.2,0.6,1.5,7.0,2.0,108.4,32.0,27.0,1.0,11.4,1.8,18.0,103.5,27.3,10.1,102.8,11.2,-1.3,1.1,0.5,15.9,14.0,0.504,146.7,16.3,-0.7,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inand Fornilos,XERS,11.0,14.8,3.2,1.2,2.7,0.433,0.3,0.9,0.3,0.5,1.1,0.5,1.5,2.4,3.9,1.1,0.2,0.4,0.6,1.4,12.0,4.0,162.7,35.0,43.0,2.0,11.9,2.2,17.1,113.9,48.0,11.0,109.3,11.1,0.6,1.2,0.6,16.6,14.0,0.496,123.3,11.8,-4.6,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric James Camson,DYIP,12.0,6.4,3.2,1.1,2.5,0.433,0.3,0.6,0.429,0.8,0.8,0.9,0.3,1.3,1.6,0.5,0.1,0.1,0.6,1.2,6.0,1.0,76.5,38.0,19.0,1.0,14.2,1.2,21.5,110.5,21.0,6.1,104.1,14.2,-4.0,1.3,0.7,16.9,14.1,0.552,176.2,25.3,-6.5,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norberto Torres,MER,24.0,11.0,3.2,1.2,3.1,0.392,0.5,1.7,0.317,0.2,0.3,0.625,0.8,1.2,2.0,0.3,0.4,0.3,0.4,1.8,8.0,7.0,262.9,76.0,47.0,9.0,5.1,2.7,12.7,101.5,49.8,7.5,102.0,10.2,-1.9,1.0,1.9,11.4,10.0,0.49,133.4,15.9,0.5,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mac Belo,ROS,10.0,8.3,3.1,1.0,3.2,0.313,0.6,2.1,0.286,0.5,0.8,0.625,0.8,1.7,2.5,0.3,0.0,0.3,0.4,1.2,3.0,3.0,83.5,31.0,25.0,0.0,5.4,2.9,20.8,103.0,20.8,10.3,93.1,8.8,-2.2,1.0,0.0,10.1,15.7,0.436,122.3,20.2,-9.8,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabe Norwood,ROS,15.0,20.6,2.9,1.0,3.5,0.288,0.2,1.6,0.125,0.7,0.9,0.786,0.9,3.0,3.9,2.0,0.7,0.3,0.5,1.1,30.0,4.0,309.0,44.0,59.0,10.0,13.2,1.1,15.1,106.2,75.5,4.7,97.5,7.7,3.6,0.8,1.6,12.1,9.8,0.378,119.9,9.1,-8.6,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerrick Balanza,XERS,6.0,6.7,2.7,1.0,3.2,0.316,0.5,1.8,0.273,0.2,0.7,0.25,0.3,1.2,1.5,0.8,0.2,0.2,0.0,0.0,5.0,1.0,39.9,16.0,9.0,1.0,24.9,2.2,19.2,111.4,14.5,5.3,97.5,14.5,8.3,0.8,1.3,0.0,12.2,0.385,83.9,23.9,-13.9,0.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Paul Calvo,DYIP,12.0,12.1,2.5,0.8,3.3,0.231,0.1,0.5,0.167,0.9,1.1,0.846,0.2,1.3,1.4,1.5,0.9,0.0,0.8,1.4,18.0,0.0,144.8,30.0,17.0,11.0,18.6,0.0,11.5,106.6,19.6,1.6,77.6,5.6,1.4,0.8,4.0,18.3,6.7,0.335,124.4,17.5,-29.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Enciso,SMB,20.0,11.2,2.4,0.8,2.5,0.327,0.8,2.1,0.357,0.0,0.0,0.0,0.2,0.7,0.8,1.3,0.4,0.1,0.5,1.3,26.0,1.0,224.2,47.0,16.0,8.0,15.7,0.4,5.9,108.8,36.5,1.4,105.7,7.4,3.7,1.0,1.9,15.5,3.7,0.48,68.4,11.4,-3.1,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Paraiso,NPB,10.0,7.4,2.3,0.7,2.0,0.35,0.6,1.3,0.462,0.3,0.4,0.75,0.2,0.9,1.1,0.7,0.5,0.2,0.8,1.1,7.0,2.0,74.2,23.0,11.0,5.0,14.4,2.5,13.3,103.4,15.8,2.8,87.4,8.8,-4.3,1.2,3.3,26.9,7.9,0.528,156.2,17.3,-15.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vic Manuel,SMB,12.0,5.0,2.3,1.0,2.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0.3,0.4,0.7,0.3,0.0,0.1,0.5,1.3,3.0,1.0,60.5,27.0,8.0,0.0,8.2,1.6,8.8,113.1,5.1,5.5,95.2,8.5,-6.7,1.1,0.0,19.2,7.2,0.533,150.0,23.6,-17.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jewel Ponferada,TNT,14.0,8.2,2.2,0.8,1.5,0.524,0.4,0.7,0.5,0.3,0.6,0.5,0.5,1.3,1.8,0.5,0.1,0.5,0.8,1.6,7.0,7.0,114.7,31.0,25.0,1.0,9.4,5.7,16.8,105.9,25.8,6.9,98.3,9.3,-5.4,1.5,0.4,31.0,11.9,0.632,152.4,14.0,-7.7,0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Von Rolfe Pessumal,BGK,13.0,6.9,2.2,0.7,2.3,0.3,0.5,1.8,0.292,0.2,0.3,0.75,0.1,0.5,0.6,0.0,0.1,0.0,0.7,0.5,0.0,0.0,89.8,28.0,8.0,1.0,0.0,0.0,8.2,105.6,-0.8,1.2,72.0,0.4,-10.5,0.9,0.6,22.1,4.8,0.441,134.2,20.9,-33.5,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Quinton Heruela,TNT,13.0,9.4,2.1,0.8,2.2,0.393,0.4,1.2,0.333,0.0,0.1,0.0,0.5,0.6,1.1,0.8,0.3,0.0,0.2,0.9,11.0,0.0,122.1,27.0,14.0,4.0,13.8,0.0,7.0,109.5,24.6,5.6,113.6,9.2,4.3,1.0,1.7,6.6,6.3,0.475,72.6,11.4,4.1,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Camacho,FUEL,11.0,8.8,2.0,0.9,1.7,0.526,0.0,0.0,0.0,0.2,0.2,1.0,0.7,0.8,1.5,0.3,0.3,0.6,0.3,2.2,3.0,7.0,96.6,22.0,17.0,3.0,5.0,6.7,9.7,105.8,19.8,9.3,113.7,10.4,-1.0,1.2,1.6,13.1,9.5,0.553,152.6,10.7,7.9,0.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Lalata,FUEL,11.0,5.3,1.9,0.8,1.2,0.692,0.2,0.3,0.667,0.1,0.5,0.2,0.1,0.2,0.3,0.1,0.0,0.2,0.2,0.9,1.0,2.0,58.0,21.0,3.0,0.0,3.1,3.2,3.6,113.9,7.9,1.9,115.3,9.9,-2.3,1.6,0.0,11.6,2.8,0.691,155.9,13.4,1.4,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Joseph Nieto,XERS,11.0,10.5,1.8,0.8,2.6,0.31,0.0,1.2,0.0,0.2,0.2,1.0,0.8,1.2,2.0,0.3,0.4,0.0,0.2,0.6,3.0,0.0,115.4,20.0,22.0,4.0,4.2,0.0,12.1,114.5,17.8,8.2,86.8,6.1,0.0,0.7,1.8,6.3,10.2,0.335,131.0,12.6,-27.7,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamron Fleming,XERS,10.0,6.2,1.8,0.7,1.9,0.368,0.2,0.6,0.333,0.2,0.6,0.333,0.3,0.9,1.2,0.1,0.1,0.2,0.2,0.5,1.0,2.0,62.3,18.0,12.0,1.0,2.8,2.9,15.8,113.5,10.8,5.0,87.4,7.5,-2.1,0.9,0.8,8.5,10.3,0.416,103.5,17.2,-26.1,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayson David,BGK,12.0,4.1,1.7,0.5,1.3,0.375,0.1,0.3,0.333,0.6,0.8,0.778,0.2,0.3,0.5,0.6,0.3,0.0,0.1,0.7,7.0,0.0,49.3,20.0,6.0,4.0,24.7,0.0,8.7,95.2,15.6,4.4,121.6,17.5,7.8,1.3,4.5,4.8,6.5,0.501,148.6,19.6,26.5,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Pascual,MER,21.0,8.6,1.5,0.6,1.3,0.464,0.0,0.0,0.0,0.3,0.4,0.667,0.5,1.1,1.6,0.2,0.0,0.2,0.3,2.1,4.0,4.0,181.5,32.0,34.0,1.0,3.4,2.2,14.5,102.1,16.4,6.4,101.8,5.3,-1.9,1.1,0.3,15.8,10.3,0.501,113.1,9.9,-0.3,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jansen Rios,MER,15.0,6.9,1.5,0.5,1.4,0.381,0.3,1.0,0.267,0.1,0.1,1.0,0.3,0.6,0.9,0.4,0.2,0.1,0.1,1.0,6.0,2.0,103.9,22.0,14.0,3.0,9.2,1.9,9.8,106.0,19.8,5.3,120.5,9.7,3.0,1.0,1.6,4.4,7.5,0.503,164.8,10.4,14.5,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvin Pasaol,MER,14.0,7.7,1.1,0.4,2.1,0.207,0.1,1.3,0.056,0.2,0.9,0.25,0.6,0.9,1.4,0.3,0.2,0.1,0.3,1.1,4.0,2.0,108.4,16.0,20.0,3.0,5.6,1.9,12.6,100.3,3.8,8.0,62.9,0.7,-1.3,0.6,1.5,10.4,10.2,0.233,51.2,16.9,-37.5,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Reyes,TNT,11.0,7.0,0.7,0.2,0.6,0.286,0.1,0.5,0.2,0.3,0.4,0.75,0.0,0.6,0.6,1.2,0.5,0.0,0.4,0.6,13.0,0.0,76.8,8.0,7.0,6.0,24.2,0.0,9.7,102.7,18.0,0.0,101.5,8.6,6.0,1.1,4.0,31.3,4.9,0.457,123.6,7.5,-1.3,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
